"subjects","E","S","R","rt"
"ku4t","accuracy","right","right",0.6528
"ku4t","neutral","left","left",0.4857
"ku4t","accuracy","right","right",0.4
"ku4t","accuracy","left","left",0.4224
"ku4t","accuracy","right","right",0.3746
"ku4t","neutral","left","right",0.372
"ku4t","speed","left","left",0.3883
"ku4t","accuracy","right","right",0.4842
"ku4t","speed","left","right",0.4839
"ku4t","speed","right","right",0.3855
"ku4t","neutral","right","right",0.493
"ku4t","neutral","right","left",0.4185
"ku4t","speed","left","right",0.3716
"ku4t","accuracy","right","left",0.4306
"ku4t","accuracy","left","left",0.5777
"ku4t","neutral","left","left",0.5016
"ku4t","accuracy","left","left",1.0614
"ku4t","accuracy","right","right",0.5959
"ku4t","speed","right","left",0.5327
"ku4t","neutral","left","right",0.469
"ku4t","speed","right","left",0.4609
"ku4t","accuracy","right","right",0.3905
"ku4t","speed","left","right",0.4192
"ku4t","speed","left","right",0.2881
"ku4t","neutral","left","left",0.478
"ku4t","speed","left","left",0.3564
"ku4t","neutral","left","left",0.3809
"ku4t","neutral","right","left",0.3464
"ku4t","speed","left","left",0.3899
"ku4t","neutral","right","right",0.3609
"ku4t","speed","right","right",0.4179
"ku4t","speed","left","right",0.3365
"ku4t","accuracy","right","right",0.3415
"ku4t","neutral","right","right",0.4521
"ku4t","accuracy","left","left",0.3364
"ku4t","neutral","left","left",0.3527
"ku4t","accuracy","right","left",0.3608
"ku4t","accuracy","right","right",0.4726
"ku4t","speed","right","left",0.2929
"ku4t","speed","right","left",0.3313
"ku4t","accuracy","left","left",0.3359
"ku4t","speed","right","left",0.3242
"ku4t","speed","right","right",0.3546
"ku4t","speed","right","right",0.2929
"ku4t","neutral","left","left",0.4681
"ku4t","accuracy","left","left",0.4808
"ku4t","neutral","right","right",0.3442
"ku4t","neutral","right","right",0.3917
"ku4t","accuracy","right","right",0.4408
"ku4t","accuracy","left","right",0.45
"ku4t","accuracy","left","left",0.4758
"ku4t","neutral","left","left",0.4214
"ku4t","speed","right","right",0.3861
"ku4t","speed","right","left",0.4622
"ku4t","neutral","left","right",0.4655
"ku4t","accuracy","left","right",0.4421
"ku4t","speed","right","left",0.4678
"ku4t","speed","left","left",0.5033
"ku4t","accuracy","right","left",0.4316
"ku4t","neutral","right","right",0.5551
"ku4t","speed","right","right",0.3196
"ku4t","neutral","right","right",0.4828
"ku4t","neutral","left","left",0.4133
"ku4t","accuracy","left","left",0.416
"ku4t","speed","left","left",0.3314
"ku4t","accuracy","right","right",0.4054
"ku4t","accuracy","left","left",0.3796
"ku4t","speed","left","left",0.3307
"ku4t","neutral","left","left",0.3638
"ku4t","accuracy","right","right",0.3771
"ku4t","speed","left","left",0.439
"ku4t","speed","left","right",0.4742
"ku4t","accuracy","right","right",0.3633
"ku4t","speed","right","right",0.409
"ku4t","accuracy","right","right",0.3829
"ku4t","neutral","right","right",0.4946
"ku4t","speed","right","right",0.4287
"ku4t","speed","right","right",0.3044
"ku4t","accuracy","right","left",0.6372
"ku4t","speed","left","right",0.3113
"ku4t","speed","right","right",0.3444
"ku4t","neutral","left","right",1.1684
"ku4t","speed","right","right",0.3442
"ku4t","speed","left","right",0.3977
"ku4t","accuracy","right","right",0.4791
"ku4t","neutral","left","right",0.6101
"ku4t","speed","right","right",0.4475
"ku4t","accuracy","right","right",0.4507
"ku4t","accuracy","left","left",0.3824
"ku4t","speed","right","left",0.2865
"ku4t","accuracy","right","right",0.4055
"ku4t","accuracy","right","right",0.3718
"ku4t","accuracy","right","right",0.3455
"ku4t","accuracy","left","left",0.3024
"ku4t","neutral","left","right",0.3985
"ku4t","speed","right","left",0.3393
"ku4t","neutral","left","left",0.403
"ku4t","accuracy","left","right",0.4677
"ku4t","accuracy","right","right",0.5184
"ku4t","speed","left","right",0.4823
"ku4t","accuracy","left","left",0.8607
"ku4t","speed","right","left",0.3895
"ku4t","speed","left","right",0.3666
"ku4t","neutral","right","right",0.4469
"ku4t","speed","left","right",0.4564
"ku4t","accuracy","right","left",0.4377
"ku4t","accuracy","left","right",0.4501
"ku4t","accuracy","right","right",0.5318
"ku4t","accuracy","left","left",0.4322
"ku4t","accuracy","right","left",0.3742
"ku4t","neutral","right","right",0.4466
"ku4t","speed","right","right",0.3616
"ku4t","neutral","right","right",0.3723
"ku4t","accuracy","left","left",0.4176
"ku4t","accuracy","left","left",0.3464
"ku4t","accuracy","right","left",0.6754
"ku4t","speed","right","right",0.4286
"ku4t","neutral","right","left",0.4282
"ku4t","speed","left","left",0.3648
"ku4t","speed","right","right",0.3515
"ku4t","speed","left","right",0.259
"ku4t","speed","left","left",0.3288
"ku4t","accuracy","right","right",0.3879
"ku4t","neutral","right","right",0.415
"ku4t","accuracy","right","right",0.4009
"ku4t","speed","left","right",0.3119
"ku4t","accuracy","left","right",0.3652
"ku4t","speed","left","right",0.3505
"ku4t","accuracy","right","right",0.3839
"ku4t","speed","right","right",0.383
"ku4t","neutral","right","right",0.5439
"ku4t","neutral","right","right",0.349
"ku4t","accuracy","left","left",0.4416
"ku4t","accuracy","left","left",0.3668
"ku4t","accuracy","left","right",0.4857
"ku4t","speed","left","right",0.3714
"ku4t","accuracy","right","right",0.7503
"ku4t","accuracy","right","right",0.3494
"ku4t","speed","right","right",0.3194
"ku4t","accuracy","right","left",0.363
"ku4t","accuracy","right","right",0.4204
"ku4t","accuracy","right","right",0.324
"ku4t","neutral","left","left",0.447
"ku4t","speed","right","right",0.4719
"ku4t","accuracy","right","right",0.3183
"ku4t","accuracy","right","right",0.5244
"ku4t","speed","left","left",0.389
"ku4t","speed","right","right",0.3498
"ku4t","speed","left","left",0.468
"ku4t","accuracy","right","right",0.3994
"ku4t","neutral","right","right",0.3918
"ku4t","speed","left","right",0.3266
"ku4t","speed","right","right",0.4368
"ku4t","accuracy","left","left",0.4177
"ku4t","speed","right","left",0.3041
"ku4t","accuracy","right","right",0.332
"ku4t","neutral","left","left",0.7453
"ku4t","neutral","right","right",0.4638
"ku4t","neutral","right","right",0.3975
"ku4t","accuracy","left","right",0.5158
"ku4t","accuracy","left","left",0.4999
"ku4t","accuracy","right","right",0.5637
"ku4t","neutral","right","right",0.4848
"ku4t","accuracy","right","right",0.6091
"ku4t","speed","right","right",0.4153
"ku4t","accuracy","left","right",0.3884
"ku4t","accuracy","right","right",0.4376
"ku4t","accuracy","right","right",0.5554
"ku4t","neutral","left","left",0.3414
"ku4t","accuracy","left","left",0.3921
"ku4t","speed","right","left",0.3043
"ku4t","accuracy","left","left",0.4301
"ku4t","accuracy","left","left",0.3605
"ku4t","speed","right","left",0.4138
"ku4t","accuracy","left","left",0.4542
"ku4t","speed","left","left",0.382
"ku4t","neutral","left","left",0.5306
"ku4t","neutral","right","right",0.3932
"ku4t","neutral","right","right",0.3339
"ku4t","speed","left","right",0.4796
"ku4t","accuracy","left","right",0.3901
"ku4t","speed","right","right",0.4246
"ku4t","accuracy","right","right",0.4171
"ku4t","accuracy","right","right",0.4531
"ku4t","neutral","left","right",0.4666
"ku4t","neutral","left","left",0.5389
"ku4t","speed","right","right",0.4568
"ku4t","neutral","right","right",0.4481
"ku4t","neutral","left","right",0.5717
"ku4t","accuracy","left","left",0.5854
"ku4t","accuracy","right","right",0.5629
"ku4t","neutral","right","right",0.4229
"ku4t","accuracy","right","right",0.6048
"ku4t","accuracy","right","right",0.4804
"ku4t","accuracy","left","left",0.4895
"ku4t","accuracy","left","left",0.385
"ku4t","accuracy","left","left",0.3732
"ku4t","speed","left","right",0.425
"ku4t","neutral","left","left",0.3846
"ku4t","neutral","right","right",0.4907
"ku4t","neutral","right","left",0.5328
"ku4t","accuracy","left","left",0.436
"ku4t","accuracy","left","left",0.4004
"ku4t","speed","left","left",0.3682
"ku4t","accuracy","right","right",0.3556
"ku4t","speed","right","right",0.4444
"ku4t","speed","left","right",0.5108
"ku4t","accuracy","right","right",0.5308
"ku4t","neutral","right","right",0.4128
"ku4t","speed","left","left",0.3774
"ku4t","accuracy","left","left",0.4156
"ku4t","accuracy","left","left",0.5552
"ku4t","accuracy","left","left",0.4362
"ku4t","accuracy","right","right",0.5555
"ku4t","neutral","left","left",0.5082
"ku4t","neutral","right","right",0.3966
"ku4t","neutral","right","right",0.393
"ku4t","speed","right","right",0.3347
"ku4t","speed","right","left",0.3157
"ku4t","accuracy","left","left",0.3647
"ku4t","accuracy","left","left",0.2985
"ku4t","accuracy","right","left",0.6362
"ku4t","speed","right","left",0.3621
"ku4t","accuracy","right","right",0.4413
"ku4t","accuracy","right","right",0.41
"ku4t","neutral","right","right",0.6227
"ku4t","accuracy","left","right",0.4713
"ku4t","speed","right","left",0.2817
"ku4t","accuracy","left","left",0.3505
"ku4t","speed","right","right",0.3304
"ku4t","neutral","left","left",0.4037
"ku4t","speed","right","right",0.4725
"ku4t","speed","left","left",0.4142
"ku4t","neutral","left","right",0.441
"ku4t","accuracy","right","right",0.3417
"ku4t","speed","right","right",0.3112
"ku4t","accuracy","left","left",0.4051
"ku4t","neutral","right","right",0.4686
"ku4t","accuracy","right","right",0.4232
"ku4t","speed","right","left",0.3908
"ku4t","accuracy","left","left",0.3592
"ku4t","accuracy","right","right",0.547
"ku4t","speed","left","right",0.5425
"ku4t","accuracy","left","left",0.4288
"ku4t","accuracy","left","left",0.4782
"ku4t","accuracy","left","left",0.4261
"ku4t","neutral","right","right",0.4764
"ku4t","speed","right","left",0.2806
"ku4t","speed","right","left",0.3898
"ku4t","accuracy","left","left",0.4758
"ku4t","speed","left","right",0.311
"ku4t","neutral","right","left",0.8934
"ku4t","neutral","right","right",0.3561
"ku4t","accuracy","right","left",0.5625
"ku4t","neutral","right","right",0.3341
"ku4t","neutral","right","right",0.579
"ku4t","accuracy","left","left",0.5513
"ku4t","speed","right","left",0.3642
"ku4t","neutral","left","left",0.3746
"ku4t","neutral","left","left",0.4981
"ku4t","speed","right","left",0.328
"ku4t","speed","right","left",0.3197
"ku4t","speed","left","left",0.4157
"ku4t","accuracy","left","left",0.7515
"ku4t","accuracy","left","left",0.6165
"ku4t","speed","left","right",0.3272
"ku4t","accuracy","right","right",0.3832
"ku4t","neutral","left","left",0.4655
"ku4t","accuracy","left","right",0.4424
"ku4t","neutral","right","right",0.7078
"ku4t","neutral","right","right",0.3756
"ku4t","speed","left","left",0.3735
"ku4t","speed","right","right",0.3205
"ku4t","accuracy","right","left",0.4059
"ku4t","neutral","right","left",0.4469
"ku4t","neutral","left","left",0.7142
"ku4t","neutral","left","left",0.4852
"ku4t","speed","right","left",0.3941
"ku4t","accuracy","right","left",0.4713
"ku4t","accuracy","left","left",0.4884
"ku4t","neutral","right","left",0.4036
"ku4t","neutral","left","left",0.8034
"ku4t","neutral","left","left",0.4489
"ku4t","speed","right","right",0.5128
"ku4t","accuracy","right","right",0.3335
"ku4t","neutral","left","left",0.4411
"ku4t","accuracy","left","left",0.3627
"ku4t","accuracy","right","right",0.5062
"ku4t","accuracy","left","right",0.3696
"ku4t","accuracy","right","right",0.5059
"ku4t","accuracy","left","left",0.4232
"ku4t","accuracy","left","right",0.8307
"ku4t","speed","left","right",0.5526
"ku4t","neutral","right","right",0.4128
"ku4t","accuracy","left","left",0.4172
"ku4t","accuracy","left","left",0.3671
"ku4t","neutral","right","right",0.4378
"ku4t","accuracy","right","left",0.6007
"ku4t","speed","left","right",0.7177
"ku4t","speed","left","left",0.5546
"ku4t","speed","right","left",0.3728
"ku4t","speed","right","right",0.4125
"ku4t","neutral","right","right",0.4064
"ku4t","neutral","right","left",0.5099
"ku4t","speed","right","left",0.2795
"ku4t","accuracy","left","left",0.4538
"ku4t","speed","left","left",0.4466
"ku4t","speed","right","left",0.4125
"ku4t","accuracy","left","left",0.5442
"ku4t","accuracy","left","right",0.5096
"ku4t","accuracy","right","right",0.327
"ku4t","speed","left","right",0.2871
"ku4t","speed","right","right",0.3181
"ku4t","accuracy","right","right",0.4087
"ku4t","neutral","left","left",0.508
"ku4t","neutral","left","right",0.4276
"ku4t","speed","right","left",0.3856
"ku4t","speed","right","right",0.3798
"ku4t","accuracy","left","left",0.4195
"ku4t","speed","left","right",0.4164
"ku4t","accuracy","right","left",0.5101
"ku4t","accuracy","right","right",0.543
"ku4t","accuracy","left","left",0.4206
"ku4t","accuracy","left","left",0.3946
"ku4t","neutral","left","right",0.451
"ku4t","speed","left","left",0.4408
"ku4t","neutral","left","left",0.3482
"ku4t","neutral","right","right",0.4744
"ku4t","accuracy","right","right",0.382
"ku4t","neutral","right","left",0.4067
"ku4t","speed","right","right",0.4733
"ku4t","speed","left","right",0.3509
"ku4t","accuracy","right","right",0.8605
"ku4t","accuracy","left","right",0.3432
"ku4t","accuracy","right","left",0.6281
"ku4t","neutral","right","right",0.4224
"ku4t","speed","left","right",0.296
"ku4t","neutral","left","left",0.6075
"ku4t","accuracy","left","left",0.4989
"ku4t","speed","left","left",0.3982
"ku4t","neutral","right","left",0.461
"ku4t","accuracy","right","right",0.3683
"ku4t","neutral","right","right",0.4415
"ku4t","accuracy","right","right",0.4631
"ku4t","speed","left","right",0.2908
"ku4t","accuracy","right","right",0.4357
"ku4t","accuracy","right","right",0.5155
"ku4t","speed","left","left",0.3565
"ku4t","accuracy","right","right",0.5715
"ku4t","speed","left","left",0.3458
"ku4t","accuracy","left","left",0.3682
"ku4t","accuracy","right","left",0.4108
"ku4t","neutral","left","right",0.3974
"ku4t","accuracy","left","left",0.4016
"ku4t","accuracy","left","left",0.4447
"ku4t","accuracy","right","right",0.3912
"ku4t","accuracy","right","right",0.4576
"ku4t","neutral","left","left",0.6052
"ku4t","speed","right","left",0.2778
"ku4t","speed","right","right",0.3552
"ku4t","speed","left","left",0.3299
"ku4t","neutral","right","right",0.4206
"ku4t","accuracy","left","left",0.3469
"ku4t","neutral","left","left",0.4759
"ku4t","neutral","right","left",0.3469
"ku4t","neutral","right","right",0.4269
"ku4t","speed","left","right",0.2796
"ku4t","accuracy","right","left",0.4467
"ku4t","speed","left","right",0.402
"ku4t","accuracy","right","right",0.3466
"ku4t","accuracy","left","left",0.4148
"ku4t","accuracy","left","left",0.4124
"ku4t","speed","left","left",0.3228
"ku4t","neutral","right","right",0.4362
"ku4t","speed","right","right",0.8278
"ku4t","speed","right","right",0.3141
"ku4t","neutral","right","right",0.3954
"ku4t","accuracy","right","right",0.3816
"ku4t","speed","right","right",0.4573
"ku4t","neutral","right","right",0.3721
"ku4t","speed","right","right",0.3573
"ku4t","neutral","left","right",0.4682
"ku4t","speed","left","left",0.3036
"ku4t","neutral","left","left",0.4393
"ku4t","neutral","left","right",0.4014
"ku4t","neutral","left","left",0.4437
"ku4t","neutral","right","left",0.4049
"ku4t","neutral","left","right",0.4985
"ku4t","neutral","right","right",0.782
"ku4t","neutral","right","right",0.4391
"ku4t","neutral","right","right",0.4016
"ku4t","speed","left","right",0.2918
"ku4t","speed","right","right",0.3063
"ku4t","accuracy","right","right",0.4003
"ku4t","neutral","left","left",1.1005
"ku4t","speed","left","left",0.4349
"ku4t","speed","right","left",0.4344
"ku4t","speed","right","right",0.3104
"ku4t","speed","right","right",0.3157
"ku4t","speed","left","right",0.3881
"ku4t","accuracy","left","left",0.4112
"ku4t","neutral","right","right",0.3924
"ku4t","neutral","left","left",0.8399
"ku4t","speed","left","left",0.3095
"ku4t","speed","left","left",0.339
"ku4t","accuracy","right","right",0.495
"ku4t","accuracy","left","left",0.4315
"ku4t","speed","left","left",0.3438
"ku4t","accuracy","left","left",0.3
"ku4t","accuracy","left","left",0.3781
"ku4t","accuracy","left","left",0.3975
"ku4t","accuracy","right","left",0.3671
"ku4t","accuracy","left","left",0.4555
"ku4t","accuracy","right","left",0.4806
"ku4t","speed","right","right",0.3247
"ku4t","speed","right","right",0.4227
"ku4t","speed","right","right",0.2999
"ku4t","accuracy","right","left",0.3903
"na1t","accuracy","right","right",0.4067
"na1t","accuracy","right","right",0.3728
"na1t","neutral","right","right",0.4271
"na1t","neutral","left","left",0.389
"na1t","speed","right","right",0.325
"na1t","neutral","right","right",0.4186
"na1t","accuracy","right","right",0.4583
"na1t","accuracy","left","left",0.4088
"na1t","accuracy","left","left",0.3665
"na1t","neutral","left","left",0.3529
"na1t","speed","left","left",0.3728
"na1t","accuracy","right","right",0.3317
"na1t","accuracy","right","right",0.4154
"na1t","accuracy","left","left",0.3601
"na1t","neutral","right","right",0.3339
"na1t","speed","right","right",0.4069
"na1t","speed","right","right",0.345
"na1t","accuracy","right","right",0.3416
"na1t","speed","left","left",0.356
"na1t","speed","left","left",0.2896
"na1t","accuracy","right","right",0.3828
"na1t","speed","left","left",0.3761
"na1t","accuracy","right","right",0.3239
"na1t","speed","right","right",0.3258
"na1t","neutral","left","left",0.4469
"na1t","neutral","left","left",0.4073
"na1t","speed","right","right",0.2661
"na1t","accuracy","right","right",0.7413
"na1t","speed","left","left",0.2719
"na1t","speed","left","right",0.2798
"na1t","speed","left","left",0.3613
"na1t","neutral","left","left",0.5431
"na1t","neutral","left","left",0.3578
"na1t","accuracy","right","right",0.451
"na1t","neutral","left","left",0.4183
"na1t","neutral","left","left",0.4543
"na1t","speed","left","left",0.316
"na1t","speed","left","left",0.3896
"na1t","speed","right","right",0.3964
"na1t","speed","left","left",0.38
"na1t","accuracy","left","left",0.3348
"na1t","neutral","right","right",0.4199
"na1t","speed","right","right",0.3469
"na1t","neutral","right","right",0.4389
"na1t","neutral","right","right",0.4138
"na1t","speed","right","right",0.4427
"na1t","accuracy","left","left",0.3652
"na1t","speed","left","left",0.4965
"na1t","speed","right","right",0.3004
"na1t","speed","right","right",0.3423
"na1t","speed","right","right",0.2772
"na1t","speed","right","right",0.3279
"na1t","neutral","left","left",0.3816
"na1t","neutral","left","left",0.3649
"na1t","speed","right","right",0.345
"na1t","neutral","left","left",0.4138
"na1t","speed","left","left",0.3453
"na1t","speed","left","left",0.4304
"na1t","speed","left","left",0.3494
"na1t","neutral","right","right",0.3872
"na1t","neutral","right","right",0.46
"na1t","speed","right","right",0.4169
"na1t","speed","left","left",0.3742
"na1t","neutral","left","left",0.3764
"na1t","neutral","left","left",0.3605
"na1t","neutral","left","left",0.3016
"na1t","speed","left","left",0.2874
"na1t","speed","left","left",0.301
"na1t","accuracy","right","right",0.3764
"na1t","neutral","right","right",0.3923
"na1t","neutral","right","right",0.4018
"na1t","speed","left","left",0.3878
"na1t","neutral","left","left",0.4228
"na1t","neutral","right","right",0.3872
"na1t","accuracy","left","left",0.3786
"na1t","speed","right","right",0.2725
"na1t","accuracy","right","right",0.2958
"na1t","accuracy","left","left",0.4505
"na1t","accuracy","left","left",0.3624
"na1t","neutral","right","right",0.4126
"na1t","neutral","left","left",0.3029
"na1t","neutral","left","left",0.3865
"na1t","accuracy","right","right",0.3967
"na1t","accuracy","left","left",0.363
"na1t","accuracy","left","right",0.2888
"na1t","speed","right","right",0.42
"na1t","accuracy","right","right",0.3977
"na1t","accuracy","left","left",0.3469
"na1t","speed","left","left",0.3584
"na1t","neutral","left","left",0.4431
"na1t","speed","right","right",0.3915
"na1t","neutral","right","right",0.3902
"na1t","accuracy","right","right",0.4034
"na1t","speed","right","right",0.3417
"na1t","accuracy","left","left",0.4104
"na1t","accuracy","right","right",0.3533
"na1t","speed","right","right",0.4304
"na1t","speed","right","right",0.3265
"na1t","speed","right","left",0.2654
"na1t","neutral","left","left",0.4126
"na1t","neutral","left","left",0.4414
"na1t","speed","left","left",0.4002
"na1t","speed","right","right",0.3403
"na1t","neutral","right","right",0.3528
"na1t","accuracy","right","right",0.329
"na1t","accuracy","left","left",0.4061
"na1t","speed","left","left",0.3168
"na1t","speed","left","left",0.3775
"na1t","speed","left","right",0.2803
"na1t","speed","left","left",0.3374
"na1t","accuracy","left","left",0.3283
"na1t","neutral","left","left",0.5083
"na1t","accuracy","right","right",0.4178
"na1t","speed","right","right",0.4072
"na1t","neutral","left","left",0.3693
"na1t","accuracy","left","left",0.3826
"na1t","accuracy","right","right",0.2889
"na1t","accuracy","right","right",0.3662
"na1t","speed","right","right",0.2819
"na1t","accuracy","left","left",0.425
"na1t","neutral","right","right",0.5932
"na1t","accuracy","left","left",0.3828
"na1t","neutral","left","left",0.4082
"na1t","speed","left","left",0.4193
"na1t","neutral","left","left",0.3859
"na1t","accuracy","left","left",0.3596
"na1t","accuracy","left","left",0.3914
"na1t","speed","right","right",0.3539
"na1t","speed","left","left",0.2892
"na1t","neutral","left","left",0.3524
"na1t","speed","right","right",0.2541
"na1t","neutral","left","left",0.2793
"na1t","neutral","right","right",0.3309
"na1t","neutral","right","right",0.4112
"na1t","speed","right","right",0.3984
"na1t","neutral","left","left",0.409
"na1t","speed","left","left",0.358
"na1t","accuracy","right","right",0.2973
"na1t","neutral","left","left",0.3793
"na1t","neutral","right","right",0.3694
"na1t","accuracy","right","right",0.3409
"na1t","speed","right","right",0.3855
"na1t","accuracy","left","left",0.3417
"na1t","accuracy","right","right",0.3746
"na1t","speed","left","left",0.3907
"na1t","accuracy","left","right",0.3054
"na1t","neutral","right","right",0.3896
"na1t","speed","left","left",0.3556
"na1t","accuracy","right","right",0.3306
"na1t","accuracy","left","left",0.4479
"na1t","neutral","right","right",0.3285
"na1t","speed","left","left",0.3307
"na1t","speed","right","right",0.2826
"na1t","accuracy","right","right",0.3688
"na1t","speed","left","left",0.3092
"na1t","neutral","right","right",0.3113
"na1t","neutral","left","left",0.3707
"na1t","speed","left","left",0.3407
"na1t","accuracy","left","right",0.3402
"na1t","neutral","left","left",0.3551
"na1t","accuracy","left","left",0.3481
"na1t","neutral","left","left",0.3696
"na1t","speed","right","right",0.4048
"na1t","neutral","left","left",0.3623
"na1t","accuracy","right","right",0.376
"na1t","accuracy","right","right",0.3319
"na1t","speed","right","right",0.3445
"na1t","neutral","right","right",0.3024
"na1t","neutral","right","right",0.405
"na1t","neutral","left","left",0.4524
"na1t","neutral","right","right",0.396
"na1t","accuracy","right","right",0.431
"na1t","accuracy","right","right",0.3546
"na1t","neutral","left","left",0.3972
"na1t","neutral","left","left",0.3978
"na1t","accuracy","left","left",0.4006
"na1t","speed","right","right",0.3547
"na1t","speed","left","left",0.4038
"na1t","accuracy","right","right",0.3717
"na1t","speed","left","left",0.3248
"na1t","neutral","right","right",0.3608
"na1t","accuracy","right","right",0.4478
"na1t","neutral","right","right",0.5653
"na1t","accuracy","left","right",0.4108
"na1t","speed","right","right",0.3824
"na1t","speed","left","left",0.3644
"na1t","neutral","right","right",0.4304
"na1t","accuracy","right","right",0.4073
"na1t","neutral","right","right",0.3549
"na1t","neutral","left","left",0.4544
"na1t","speed","right","right",0.3396
"na1t","neutral","right","right",0.3659
"na1t","speed","left","left",0.3304
"na1t","accuracy","left","left",0.444
"na1t","accuracy","left","left",0.3307
"na1t","accuracy","right","right",0.3599
"na1t","accuracy","left","left",0.4687
"na1t","accuracy","right","left",0.3259
"na1t","speed","right","right",0.4977
"na1t","accuracy","left","left",0.4067
"na1t","accuracy","left","left",0.4188
"na1t","speed","right","right",0.351
"na1t","neutral","right","right",0.3509
"na1t","accuracy","right","right",0.4196
"na1t","neutral","right","right",0.3747
"na1t","speed","left","left",0.3303
"na1t","neutral","right","right",0.3353
"na1t","speed","right","right",0.3251
"na1t","speed","right","right",0.3373
"na1t","neutral","right","right",0.3709
"na1t","speed","right","right",0.3368
"na1t","accuracy","right","right",0.3462
"na1t","speed","right","right",0.4093
"na1t","neutral","right","right",0.2959
"na1t","speed","left","right",0.3182
"na1t","speed","left","left",0.3953
"na1t","accuracy","right","right",0.4061
"na1t","accuracy","right","right",0.4099
"na1t","speed","left","left",0.368
"na1t","neutral","right","right",0.3597
"na1t","speed","right","right",0.3561
"na1t","neutral","right","right",0.5291
"na1t","neutral","left","left",0.4714
"na1t","accuracy","right","right",0.3942
"na1t","neutral","right","right",0.4172
"na1t","accuracy","right","right",0.3889
"na1t","accuracy","left","left",0.3597
"na1t","accuracy","left","left",0.4067
"na1t","accuracy","right","right",0.3756
"na1t","speed","right","right",0.3355
"na1t","accuracy","right","right",0.4325
"na1t","neutral","left","left",0.4168
"na1t","accuracy","right","right",0.3236
"na1t","neutral","left","left",0.3295
"na1t","accuracy","left","right",0.3391
"na1t","neutral","left","left",0.3982
"na1t","accuracy","left","left",0.4121
"na1t","speed","right","right",0.349
"na1t","speed","left","left",0.2844
"na1t","accuracy","left","left",0.4078
"na1t","speed","left","left",0.3267
"na1t","speed","right","left",0.298
"na1t","accuracy","right","right",0.3597
"na1t","neutral","left","left",0.3667
"na1t","neutral","left","left",0.3553
"na1t","speed","right","right",0.3701
"na1t","accuracy","left","left",0.4011
"na1t","accuracy","right","right",0.3311
"na1t","accuracy","left","left",0.3323
"na1t","speed","right","right",0.3675
"na1t","speed","left","left",0.2743
"na1t","accuracy","right","right",0.3952
"na1t","speed","right","right",0.3143
"na1t","accuracy","right","right",0.3509
"na1t","speed","right","right",0.3662
"na1t","neutral","right","right",0.3864
"na1t","speed","right","right",0.2967
"na1t","speed","right","right",0.4082
"na1t","neutral","right","right",0.3344
"na1t","speed","left","left",0.359
"na1t","speed","left","right",0.2821
"na1t","accuracy","right","right",0.3374
"na1t","accuracy","left","left",0.4046
"na1t","accuracy","right","right",0.3959
"na1t","neutral","right","right",0.3938
"na1t","accuracy","left","left",0.3856
"na1t","speed","right","right",0.3925
"na1t","accuracy","left","left",0.3265
"na1t","neutral","right","right",0.3965
"na1t","neutral","right","right",0.2831
"na1t","speed","right","right",0.261
"na1t","neutral","right","right",0.3538
"na1t","neutral","right","left",0.4658
"na1t","speed","left","right",0.3437
"na1t","neutral","left","left",0.3973
"na1t","speed","left","left",0.3386
"na1t","accuracy","right","right",0.3767
"na1t","accuracy","right","right",0.398
"na1t","accuracy","left","left",0.3768
"na1t","speed","right","right",0.339
"na1t","accuracy","right","right",0.3848
"na1t","neutral","left","left",0.4333
"na1t","speed","left","left",0.2905
"na1t","speed","right","right",0.3742
"na1t","neutral","right","right",0.3497
"na1t","accuracy","left","left",0.4458
"na1t","accuracy","left","left",0.4478
"na1t","neutral","right","right",0.3967
"na1t","accuracy","left","left",0.4459
"na1t","accuracy","left","left",0.3884
"na1t","accuracy","left","left",0.3777
"na1t","accuracy","right","right",0.3908
"na1t","accuracy","left","left",0.392
"na1t","speed","left","left",0.3732
"na1t","speed","right","right",0.3573
"na1t","neutral","left","left",0.4048
"na1t","accuracy","right","right",0.3407
"na1t","speed","left","left",0.3964
"na1t","neutral","right","right",0.3892
"na1t","accuracy","left","left",0.3446
"na1t","speed","left","left",0.3446
"na1t","speed","right","right",0.3269
"na1t","neutral","right","right",0.3552
"na1t","accuracy","left","left",0.4401
"na1t","speed","right","right",0.3035
"na1t","speed","right","right",0.3154
"na1t","speed","left","left",0.4232
"na1t","neutral","left","left",0.3718
"na1t","neutral","right","right",0.3791
"na1t","neutral","right","right",0.4006
"na1t","neutral","left","left",0.3178
"na1t","neutral","left","right",0.3231
"na1t","neutral","left","left",0.4033
"na1t","neutral","left","left",0.3751
"na1t","neutral","left","left",0.3565
"na1t","neutral","right","right",0.3901
"na1t","neutral","right","right",0.4308
"na1t","accuracy","left","left",0.3445
"na1t","speed","left","left",0.359
"na1t","accuracy","left","left",0.3343
"na1t","speed","left","left",0.3618
"na1t","speed","left","left",0.3244
"na1t","accuracy","right","left",0.4086
"na1t","accuracy","right","right",0.3723
"na1t","neutral","right","left",0.32
"na1t","speed","left","left",0.3659
"na1t","accuracy","left","left",0.3879
"na1t","neutral","left","left",0.4027
"na1t","accuracy","right","right",0.6514
"na1t","accuracy","left","left",0.4293
"na1t","speed","right","right",0.414
"na1t","neutral","left","left",0.3918
"na1t","neutral","left","left",0.4429
"na1t","accuracy","left","left",0.4939
"na1t","speed","left","left",0.3556
"na1t","speed","right","right",0.311
"na1t","neutral","right","right",0.342
"na1t","accuracy","left","left",0.4146
